term,match_type,severity,category,replacement_hint,notes
motivator,word,block,internal_jargon,"use customer-friendly benefit language","Never mention internal framework terms to customers."
self-validation,phrase,block,internal_jargon,"use 'premium / confident / standout' language","Internal category name."
autonomy,word,block,internal_jargon,"use 'easy / straightforward / on your terms' language","Internal category name."
prudence,word,block,internal_jargon,"use 'smart / practical / value-focused' language","Internal category name."
security,word,block,internal_jargon,"use 'safe / dependable / worry-free' language","Internal category name."
reward,word,block,internal_jargon,"use 'well-deserved / upgraded / enjoyable' language","Internal category name."
connection,word,block,internal_jargon,"use 'family-friendly / thoughtful / supportive' language","Internal category name."
primary motivator,phrase,block,internal_jargon,"remove; rewrite as needs/preferences","Sounds like profiling language."
motivational profile,phrase,block,internal_jargon,"remove; rewrite as preferences","Internal concept."
human language,phrase,warn,internal_jargon,"remove from customer-facing text","Okay internally; odd to say to a customer."
buying behavior signals,phrase,warn,internal_jargon,"remove; rewrite as 'what you mentioned matters most'","Internal training term."
sales cue question,phrase,warn,internal_jargon,"remove; rewrite naturally","Internal training term."
on-lot handle prompt,phrase,warn,internal_jargon,"remove; rewrite naturally","Internal training term."
coach prompt,phrase,warn,internal_jargon,"remove; rewrite naturally","Internal training term."
script,word,warn,internal_jargon,"remove; rewrite naturally","Customers don’t want to feel 'scripted'."
objection handling,phrase,warn,sales_jargon,"remove; address concern directly","Sales-trainer language."
close,word,warn,sales_jargon,"remove; use 'next step'","Sounds transactional."
close the deal,phrase,block,sales_jargon,"use 'help you choose / next step'","Too salesy."
deal,word,warn,sales_jargon,"use 'purchase / option / numbers'","Sometimes fine, but can feel transactional."
best price promise,phrase,allow,brand_language,"","Allowed if it’s your official store messaging."
one-price,phrase,allow,brand_language,"","Allowed if you position it as transparency."
